Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
1,Kylian Mbappé,FW,fr,France,Real Madrid,27,1998,7,7,605,6.7,8,3,11,7,1,2,1,0,1.19,0.45,1.64,41,23,1,0,0.92,Yes
2,Lionel Messi,FW,ar,Argentina,Inter Miami,39,1987,7,6,620,6.9,8,4,12,8,0,2,0,0,1.16,0.58,1.74,35,18,10,0,0.8981,Yes
3,Unai Simón,GK,es,Spain,Athletic Club,29,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.8633,Yes
4,Dayot Upamecano,DF,fr,France,Bayern Munich,27,1998,7,7,615,6.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,2,12,15,0.771,Yes
5,Achraf Hakimi,DF,ma,Morocco,PSG,27,1998,6,6,570,6.3,1,2,3,1,0,0,1,0,0.16,0.32,0.47,14,4,10,5,0.7403,Yes
6,Marc Cucurella,DF,es,Spain,Chelsea,27,1998,7,7,630,7.0,0,2,2,0,0,0,1,0,0.0,0.29,0.29,5,3,4,7,0.659,Yes
7,Aymeric Laporte,DF,es,Spain,Athletic Club,32,1994,7,7,629,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,5,2,3,14,0.6522,Yes
8,Cristian Romero,DF,ar,Argentina,Tottenham,28,1998,6,6,539,6.0,1,0,1,1,0,0,1,0,0.17,0.0,0.17,3,1,10,11,0.6378,No
9,Erling Haaland,FW,no,Norway,Manchester City,25,2000,5,5,465,5.2,7,0,7,7,0,0,0,0,1.35,0.0,1.35,20,13,0,1,0.5761,Yes
10,Harry Kane,FW,eng,England,Bayern Munich,32,1993,7,7,652,7.2,6,1,7,4,2,2,0,0,0.83,0.14,0.97,23,12,3,1,0.568,No
11,Pedro Porro,DF,es,Spain,Tottenham,26,1999,5,5,443,4.9,2,0,2,2,0,0,0,0,0.41,0.0,0.41,7,3,11,8,0.5625,No
12,Khuliso Mudau,DF,za,South Africa,Sundowns,31,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,8,11,0.5409,No
