Player,Nation,Club,Matches Played,Minutes Played,Goals Against,Goals Against per 90,Shots on Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Faced,PK Goals Allowed,PK Saved,Dream XI
Yazeed Abulaila,Jordan,Al-Hussein SC,3,270,8,2.67,16,8,50.0,0,0,3,0,0.0,2,2,0,No
Mahmoud Abunada,Qatar,Al Rayyan SC,3,270,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,No
Alisson,Brazil,Liverpool,5,450,4,0.8,18,14,77.8,3,1,1,2,40.0,0,0,0,No
Benjamin Asare,Ghana,Accra Hearts of Oak,3,225,2,0.8,10,8,80.0,0,1,1,2,100.0,0,0,0,No
Lawrence Ati-Zigi,Ghana,St. Gallen,2,135,1,0.67,9,8,88.9,1,0,1,1,50.0,0,0,0,No
Ahmed Basil,Iraq,Al-Shorta,2,135,4,2.67,7,3,42.9,0,0,2,0,0.0,0,0,0,No
Patrick Beach,Australia,Melb City,4,388,3,0.7,17,14,82.4,1,2,1,2,50.0,0,0,0,No
Alireza Beiranvand,IR Iran,Tractor,3,270,3,1.0,18,15,83.3,0,3,0,1,33.3,0,0,0,No
Oussama Benbot,Algeria,USM Alger,1,90,3,3.0,3,0,0.0,0,1,0,0,0.0,0,0,0,No
Yassine Bounou,Morocco,Al-Hilal,6,570,6,0.95,20,14,70.0,3,2,1,2,33.3,1,0,1,No
Uğurcan Çakır,Türkiye,Galatasaray,3,270,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,No
Mouhib Chamakh,Tunisia,Club Africain,1,90,5,5.0,6,1,16.7,0,0,1,0,0.0,0,0,0,No
Diogo Costa,Portugal,Porto,5,450,3,0.6,22,19,86.4,2,2,1,2,40.0,0,0,0,No
Thibaut Courtois,Belgium,Real Madrid,6,550,6,0.98,20,14,70.0,3,2,1,1,16.7,0,0,0,No
Maxime Crépeau,Canada,Orlando City,5,450,6,1.2,12,6,50.0,2,1,2,2,40.0,0,0,0,No
Max Crocombe,New Zealand,Millwall,3,270,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,No
Aymen Dahmen,Tunisia,Ahly Sfaxien,2,180,7,3.5,12,5,41.7,0,0,2,0,0.0,0,0,0,No
Mory Diaw,Senegal,Le Havre,3,238,3,1.13,7,4,57.1,1,0,1,1,50.0,1,1,0,No
Yahia Fofana,Côte d'Ivoire,Rizespor,4,360,4,1.0,13,9,69.2,2,0,2,2,50.0,0,0,0,No
Matt Freese,United States,NYCFC,4,360,5,1.25,13,8,61.5,3,0,1,2,50.0,0,0,0,No
Hernán Galíndez,Ecuador,Huracán,4,360,4,1.0,13,9,69.2,1,1,2,1,25.0,0,0,0,No
Orlando Gill,Paraguay,San Lorenzo,5,480,6,1.13,29,23,79.3,1,2,2,2,40.0,1,1,0,No
Angus Gunn,Scotland,Nottingham,3,270,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,No
Jalal Hassan,Iraq,Al-Zawra'a SC,2,135,8,5.33,16,8,50.0,0,0,1,0,0.0,0,0,0,No
Gregor Kobel,Switzerland,Dortmund,6,600,6,0.9,26,20,76.9,3,2,1,2,33.3,0,0,0,No
Matej Kovar,Czechia,PSV,3,270,6,2.0,15,9,60.0,0,1,2,0,0.0,1,1,0,No
Senne Lammens,Belgium,Manchester Utd,1,20,1,4.5,3,2,66.7,0,0,0,0,0,0,0,0,No
Dominik Livaković,Croatia,Dinamo Zagreb,4,360,7,1.75,17,10,58.8,2,0,2,1,25.0,2,2,0,No
Mike Maignan,France,Milan,7,630,4,0.57,12,8,66.7,6,0,1,4,57.1,2,1,1,No
Emiliano Martínez,Argentina,Aston Villa,7,690,7,0.91,16,9,56.3,7,0,0,2,28.6,0,0,0,No
Édouard Mendy,Senegal,Al-Ahli,2,152,6,3.55,14,8,57.1,0,0,2,0,0.0,0,0,0,No
Orlando Mosquera,Panama,Al-Fayha,3,270,4,1.33,11,7,63.6,0,0,3,0,0.0,0,0,0,No
Lionel Mpasi,Congo DR,Le Havre,4,360,5,1.25,19,14,73.7,1,1,2,0,0.0,0,0,0,No
Fernando Muslera,Uruguay,Galatasaray,3,225,4,1.6,8,4,50.0,0,2,1,0,0.0,0,0,0,No
Abduvohid Nematov,Uzbekistan,FC Nasaf,2,180,8,4.0,13,5,38.5,0,0,2,0,0.0,1,1,0,No
Manuel Neuer,Germany,Bayern Munich,4,390,5,1.15,10,5,50.0,2,1,1,0,0.0,0,0,0,No
Kristoffer Nordfeldt,Sweden,AIK Stockholm,2,180,6,3.0,9,3,33.3,1,0,1,0,0.0,0,0,0,No
Ørjan Nyland,Norway,Sevilla,5,480,7,1.31,22,15,68.2,4,0,1,0,0.0,2,1,1,No
Guillermo Ochoa,Mexico,AEL Limassol,1,13,0,0.0,0,0,0,0,0,0,1,0,0,0,0,No
Mohammed Al-Owais,Saudi Arabia,Al-Ula,3,270,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,No
Jordan Pickford,England,Everton,7,660,8,1.09,23,15,65.2,5,1,1,2,28.6,1,1,0,No
Johny Placide,Haiti,Bastia,3,270,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,No
Raúl Rangel,Mexico,Guadalajara,5,437,3,0.62,11,8,72.7,4,0,1,4,80.0,1,1,0,No
Sergio Rochet,Uruguay,Internacional,1,45,0,0.0,0,0,0,0,0,0,0,0,0,0,0,No
Eloy Room,Curaçao,Miami FC,3,270,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,No
Mathew Ryan,Australia,Levante,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,No
Alexander Schlager,Austria,RB Salzburg,4,360,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,No
Egil Selvik,Norway,Watford,1,90,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,No
Kim Seung-gyu,Korea Republic,FC Tokyo,3,270,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,No
Mostafa Shobeir,Egypt,Al Ahly,5,480,7,1.31,19,12,63.2,1,3,1,0,0.0,2,0,2,No
Unai Simón,Spain,Athletic Club,7,630,1,0.14,11,9,90.9,6,1,0,6,85.7,0,0,0,Yes
Zion Suzuki,Japan,Parma,4,360,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,No
Matt Turner,United States,NE Revolution,1,90,3,3.0,3,0,0.0,0,0,1,0,0.0,0,0,0,No
Camilo Vargas,Colombia,Atlas,5,480,1,0.19,7,6,85.7,3,2,0,4,80.0,0,0,0,No
Nikola Vasilj,Bosnia–Herz,St Pauli,4,360,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,No
Bart Verbruggen,Netherlands,Brighton,4,390,5,1.15,21,16,76.2,2,2,0,0,0.0,0,0,0,No
Vozinha,Cabo Verde,Chaves,4,390,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,No
Jacob Widell Zetterström,Sweden,Derby County,2,180,4,2.0,15,11,73.3,0,1,1,0,0.0,0,0,0,No
Ronwen Williams,South Africa,Sundowns,4,360,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,No
Utkir Yusupov,Uzbekistan,Navbahor,1,90,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,No
Luca Zidane,Algeria,Granada,3,270,6,2.0,14,8,57.1,1,0,2,0,0.0,0,0,0,No
