Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
1,Brenden Aaronson,MF,us United States,25-268,2000,1,76.0,76.0,16.9,0.8,1,76.0,0,0,,4,0.0,2.0,2.0,0.0,0.0,-0.72,Matches,5bc43860
2,Thelo Aasgaard,MF,no Norway,24-076,2002,1,90.0,90.0,15.8,1.0,1,90.0,1,0,,5,0.0,1.0,4.0,-3.0,-3.0,-3.94,Matches,c88a28b9
3,Achref Abada,DF,dz Algeria,27-032,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,30885199
4,Hamza Abdelkarim,FW,eg Egypt,18-197,2008,4,60.0,15.0,12.5,0.7,0,,0,4,15.0,1,1.5,1.0,0.0,1.0,1.5,1.5,Matches,057d8f12
5,Hossam Abdelmaguid,DF,eg Egypt,25-078,2001,2,59.0,30.0,12.3,0.7,0,,0,2,30.0,2,2.0,0.0,0.0,0.0,0.0,-0.21,Matches,accbfc94
6,Mohamed Abdelmonem,DF,eg Egypt,27-166,1999,2,14.0,7.0,2.9,0.2,1,13.0,0,1,1.0,1,2.0,1.0,1.0,0.0,0.0,-0.19,Matches,bff15d74
7,Ali Abdi,DF,tn Tunisia,32-209,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.0,2.0,12.0,-10.0,-3.35,-3.35,Matches,ad7cdb35
8,Saud Abdulhamid,DF,sa Saudi Arabia,26-364,1999,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.67,1.0,5.0,-4.0,-1.34,-1.34,Matches,caa254e4
9,Abdulla Abdullaev,DF,uz Uzbekistan,28-319,1997,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,8.0,-7.0,-3.5,-1.5,Matches,03053fbf
10,Yusuf Abdurisag,FW,qa Qatar,26-345,1999,2,98.0,49.0,36.3,1.1,2,49.0,0,0,,1,0.5,0.0,3.0,-3.0,-2.76,-0.14,Matches,13c8f40b
11,Husam Abu Dahab,DF,jo Jordan,26-065,2000,2,178.0,89.0,65.9,2.0,2,89.0,0,0,,1,0.0,2.0,5.0,-3.0,-1.52,0.44,Matches,300aaeb6
12,Mohammad Abu Hasheesh,DF,jo Jordan,31-069,1995,1,6.0,6.0,2.2,0.1,0,,0,1,6.0,2,0.0,0.0,0.0,0.0,0.0,1.7,Matches,72c2fa7a
13,Mohannad Abu Taha,DF,jo Jordan,23-165,2003,3,264.0,88.0,97.8,2.9,3,88.0,2,0,,0,0.0,3.0,8.0,-5.0,-1.7,-1.7,Matches,5c4bac6c
14,Mo Abualnadi,DF,jo Jordan,25-159,2001,1,71.0,71.0,26.3,0.8,1,71.0,0,0,,2,0.0,1.0,1.0,0.0,0.0,2.26,Matches,4bff62e4
15,Yazeed Abulaila,GK,jo Jordan,33-190,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,8.0,-5.0,-1.67,,Matches,5d11fc17
16,Mahmoud Abunada,GK,qa Qatar,26-162,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,10.0,-8.0,-2.67,,Matches,27e7e545
17,Carlos Acevedo,GK,mx Mexico,30-089,1996,0,,,,,0,,0,0,,5,,,,,,,Matches,0810e384
18,Elias Achouri,FWMF,tn Tunisia,27-157,1999,3,43.0,14.0,15.9,0.5,0,,0,3,14.0,0,0.0,0.0,2.0,-2.0,-4.19,-1.01,Matches,4dd2a0be
19,Ché Adams,FW,sct Scotland,30-004,1996,3,145.0,48.0,53.7,1.6,2,72.0,0,1,1.0,0,1.0,1.0,1.0,0.0,0.0,2.16,Matches,f2bf1b0f
20,Jayden Adams,MF,za South Africa,25-073,2001,3,116.0,39.0,32.2,1.3,2,53.0,0,1,11.0,1,1.33,0.0,2.0,-2.0,-1.55,-1.55,Matches,259affab
21,Tyler Adams,MF,us United States,27-153,1999,4,341.0,85.0,75.8,3.8,4,85.0,3,0,,1,2.25,9.0,4.0,5.0,1.32,2.97,Matches,2b09d998
22,Ricardo Adé,DF,ht Haiti,36-057,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,Matches,a9ee5e81
23,Ibrahim Adel,MF,eg Egypt,25-085,2001,1,3.0,3.0,0.6,0.0,0,,0,1,3.0,4,1.0,0.0,0.0,0.0,0.0,-0.19,Matches,4869216e
24,Simon Adingra,FWMF,ci Côte d'Ivoire,24-197,2002,1,16.0,16.0,4.4,0.2,0,,0,1,16.0,3,0.0,0.0,1.0,-1.0,-5.63,-6.15,Matches,4dcec659
25,Jonas Adjetey,DF,gh Ghana,22-216,2003,3,225.0,75.0,62.5,2.5,3,75.0,2,0,,1,1.33,1.0,1.0,0.0,0.0,0.67,Matches,bdbf78cd
26,Michel Aebischer,MFFW,ch Switzerland,29-192,1997,4,156.0,39.0,26.0,1.7,2,68.0,0,2,11.0,1,2.5,1.0,1.0,0.0,0.0,-0.81,Matches,f9c927de
27,David Affengruber,DF,at Austria,25-120,2001,0,,,,,0,,0,0,,4,,,,,,,Matches,4b00cd47
28,Akram Afif,FWMF,qa Qatar,29-241,1996,3,238.0,79.0,88.1,2.6,3,79.0,2,0,,0,0.33,2.0,7.0,-5.0,-1.89,6.55,Matches,fd53d9e7
29,Emmanuel Agbadou,DF,ci Côte d'Ivoire,29-030,1997,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,1,1.0,3.0,4.0,-1.0,-0.33,-2.33,Matches,75f1ed80
30,Rodrigo Aguirre,FW,uy Uruguay,31-289,1994,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.33,Matches,b5691f5d
31,Ali Ahmed,MF,ca Canada,25-280,2000,4,234.0,59.0,52.0,2.6,3,68.0,0,1,30.0,1,1.0,5.0,3.0,2.0,0.77,0.35,Matches,540a5be1
32,Homam Ahmed,DF,qa Qatar,26-326,1999,2,122.0,61.0,45.2,1.4,2,61.0,1,0,,0,0.5,1.0,3.0,-2.0,-1.48,2.17,Matches,a62fa158
33,Rayan Aït-Nouri,DF,dz Algeria,25-041,2001,4,284.0,71.0,78.9,3.2,3,88.0,2,1,20.0,0,1.0,3.0,7.0,-4.0,-1.27,-1.27,Matches,9b398aea
34,Kristoffer Ajer,DF,no Norway,28-091,1998,5,480.0,96.0,84.2,5.3,5,96.0,5,0,,1,2.4,12.0,7.0,5.0,0.94,3.94,Matches,a8c0acb7
35,Manuel Akanji,DF,ch Switzerland,30-363,1995,6,600.0,100.0,100.0,6.7,6,100.0,6,0,,0,1.83,10.0,6.0,4.0,0.6,,Matches,89ac64a6
36,Samet Akaydın,DF,tr Türkiye,32-126,1994,0,,,,,0,,0,0,,3,,,,,,,Matches,7328bee5
37,Nathan Aké,DF,nl Netherlands,31-149,1995,3,170.0,57.0,43.6,1.9,2,80.0,1,1,10.0,1,1.67,3.0,2.0,1.0,0.53,-1.52,Matches,eaeca114
38,Yunus Akgün,MF,tr Türkiye,26-010,2000,2,88.0,44.0,32.6,1.0,1,59.0,0,1,29.0,1,0.0,0.0,2.0,-2.0,-2.05,-2.05,Matches,1453e3cf
39,Maghnes Akliouche,MF,fr France,24-142,2002,1,8.0,8.0,1.3,0.1,0,,0,1,8.0,6,3.0,0.0,0.0,0.0,0.0,-1.74,Matches,b625b241
40,Kerem Aktürkoğlu,FW,tr Türkiye,27-269,1998,2,129.0,65.0,47.8,1.4,2,65.0,0,0,,1,0.0,0.0,3.0,-3.0,-2.09,-2.73,Matches,f28659fb
41,Mohamed Alaa,GK,eg Egypt,27-197,1999,0,,,,,0,,0,0,,5,,,,,,,Matches,83ba02b3
42,Tarek Alaa,DF,eg Egypt,24-193,2002,0,,,,,0,,0,0,,5,,,,,,,Matches,bf73f76b
43,Ahmed Alaaeldin,FW,qa Qatar,33-167,1993,2,43.0,22.0,15.9,0.5,0,,0,2,22.0,1,0.5,1.0,1.0,0.0,0.0,3.17,Matches,74fbbb3c
44,David Alaba,DF,at Austria,34-023,1992,4,275.0,69.0,76.4,3.1,4,69.0,1,0,,0,1.0,3.0,7.0,-4.0,-1.31,-2.37,Matches,05439de2
45,Kerim Alajbegović,MF,ba Bosnia–Herz,18-299,2007,4,277.0,69.0,76.9,3.1,3,87.0,1,1,17.0,0,1.0,3.0,7.0,-4.0,-1.3,-2.38,Matches,f3d9291e
46,Jordy Alcivar,MF,ec Ecuador,26-346,1999,1,45.0,45.0,12.5,0.5,1,45.0,0,0,,3,1.0,0.0,0.0,0.0,0.0,0.57,Matches,6e98c19f
47,Omar Alderete,DF,py Paraguay,29-203,1996,4,320.0,80.0,66.7,3.6,4,80.0,2,0,,1,1.0,2.0,4.0,-2.0,-0.56,0.0,Matches,bb08bce9
48,Almoez Ali,FW,qa Qatar,29-332,1996,1,19.0,19.0,7.0,0.2,0,,0,1,19.0,2,0.0,0.0,1.0,-1.0,-4.74,-2.23,Matches,bae045a9
49,Hussein Ali,DF,iq Iraq,24-138,2002,2,162.0,81.0,60.0,1.8,2,81.0,1,0,,1,0.0,1.0,5.0,-4.0,-2.22,3.61,Matches,b8a919ad
50,Mohanad Ali,FW,iq Iraq,26-027,2000,1,13.0,13.0,4.8,0.1,0,,0,1,13.0,2,0.0,0.0,1.0,-1.0,-6.92,-3.42,Matches,f929049b
51,Taha Ali,FWMF,se Sweden,28-016,1998,2,37.0,19.0,10.3,0.4,0,,0,2,19.0,2,0.0,0.0,2.0,-2.0,-4.86,-4.59,Matches,da4b8a4e
52,Khojiakbar Alijonov,MF,uz Uzbekistan,29-089,1997,2,135.0,68.0,50.0,1.5,1,90.0,1,1,45.0,1,0.0,1.0,5.0,-4.0,-2.67,0.67,Matches,e53cbd7a
53,Ali Alipour,FW,ir IR Iran,30-248,1995,1,38.0,38.0,14.1,0.4,0,,0,1,38.0,2,1.0,1.0,1.0,0.0,0.0,0.0,Matches,488ee64c
54,Alisson,GK,br Brazil,33-288,1992,5,450.0,90.0,100.0,5.0,5,90.0,5,0,,0,2.0,10.0,4.0,6.0,1.2,,Matches,7a2e46a8
55,Thiago Almada,MF,ar Argentina,25-082,2001,5,241.0,48.0,34.9,2.7,3,60.0,0,2,31.0,2,3.0,6.0,1.0,5.0,1.87,0.46,Matches,27f33438
