Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches,-additional_-9999,Score,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
51,Unai Simón,GK,es Spain,29-036,1.es Athletic Club,1997,7,7,630.0,7.0,0.1,0.14,11.0,0.3913043478260869,1.0,6.0,1.0,0.0,1.0,85.7,0.0,0.0,0.0,0.0,,Matches,5dcf3e90,0.8632608695652173,,,,,,,,,,,,,,,,,,
956,Dayot Upamecano,DF,fr France,27-263,1.de Bayern Munich,1998,7,7,0.9761526232114466,6.8,,,,,,,,,,,,,,,,Matches,d248cd8f,0.7709612327259385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.0869565217391304,0.9230769230769231,1.0,615.0
380,Achraf Hakimi,DF,ma Morocco,27-255,1.fr PSG,1998,6,6,0.9046104928457868,6.3,,,,,,,,,,,,,,,,Matches,e42d61c7,0.7402551873140107,0.125,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.32,0.47,0.16,0.47,0.3414634146341463,0.1739130434782608,0.7692307692307692,0.3333333333333333,570.0
218,Marc Cucurella,DF,es Spain,27-360,1.eng Chelsea,1998,7,7,1.0,7.0,,,,,,,,,,,,,,,,Matches,1daec722,0.658974358974359,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,0.1219512195121951,0.1304347826086956,0.3076923076923077,0.4666666666666667,630.0
516,Aymeric Laporte,DF,es Spain,32-051,1.es Athletic Club,1994,7,7,0.9984101748807628,7.0,,,,,,,,,,,,,,,,Matches,119b9a8e,0.6521666462842932,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,0.1219512195121951,0.0869565217391304,0.23076923076923073,0.9333333333333332,629.0
123,Jude Bellingham,MF,eng England,23-018,1.es Real Madrid,2003,7,7,0.872278664731495,6.7,,,,,,,,,,,,,,,,Matches,57d88cf9,0.4922278664731495,0.75,0.2,7.0,6.0,0.0,0.0,1.0,0.0,0.9,0.15,1.05,0.9,1.05,0.4634146341463415,0.5652173913043478,0.5,0.2,602.0
688,Michael Olise,MF,fr France,24-217,1.de Bayern Munich,2001,7,7,0.8055152394775037,6.2,,,,,,,,,,,,,,,,Matches,c4486bac,0.4805515239477504,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.81,0.81,0.0,0.81,0.4878048780487805,0.217391304347826,0.4,0.2,556.0
242,Ousmane Dembélé,MF,fr France,29-063,1.fr PSG,1997,7,7,0.7924528301886793,6.1,,,,,,,,,,,,,,,,Matches,b19db005,0.4067452830188679,0.625,0.4,7.0,5.0,0.0,0.0,0.0,0.0,0.82,0.33,1.15,0.82,1.15,0.4878048780487805,0.4347826086956521,0.1,0.0,547.0
584,Kylian Mbappé,FW,fr France,27-209,1.es Real Madrid,1998,7,7,0.8766328011611031,6.7,,,,,,,,,,,,,,,,Matches,42fd9c7f,0.92,1.0,0.6000000000000001,11.0,7.0,1.0,2.0,1.0,0.0,1.19,0.45,1.64,1.04,1.49,1.0,1.0,0.05,0.0,605.0
610,Lionel Messi,FW,ar Argentina,39-023,1.us Inter Miami,1987,7,6,0.8984034833091438,6.9,,,,,,,,,,,,,,,,Matches,d70ce98e,0.8981230116648994,1.0,0.8,12.0,8.0,0.0,2.0,0.0,0.0,1.16,0.58,1.74,1.16,1.74,0.8536585365853658,0.7826086956521738,0.5,0.0,620.0
372,Erling Haaland,FW,no Norway,25-361,1.eng Manchester City,2000,5,5,0.6734397677793904,5.2,,,,,,,,,,,,,,,,Matches,1f44ac21,0.5760935843054082,0.875,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.35,0.0,1.35,1.35,1.35,0.4878048780487805,0.5652173913043478,0.0,0.0666666666666666,465.0
