Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
1,Brenden Aaronson,MF,us United States,25-268,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5bc43860,3.0,1.0,1.0,0.0,76.0
2,Thelo Aasgaard,MF,no Norway,24-076,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches,c88a28b9,2.0,1.0,1.0,3.0,90.0
3,Hamza Abdelkarim,FW,eg Egypt,18-197,4.es Barcelona B,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,057d8f12,0.0,0.0,0.0,0.0,60.0
4,Hossam Abdelmaguid,DF,eg Egypt,25-078,1.eg Zamalek SC,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,accbfc94,0.0,0.0,0.0,1.0,59.0
5,Mohamed Abdelmonem,DF,eg Egypt,27-166,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bff15d74,0.0,0.0,0.0,0.0,14.0
6,Ali Abdi,DF,tn Tunisia,32-209,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ad7cdb35,1.0,0.0,8.0,4.0,269.0
7,Saud Abdulhamid,DF,sa Saudi Arabia,26-364,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,caa254e4,2.0,0.0,9.0,2.0,269.0
8,Abdulla Abdullaev,DF,uz Uzbekistan,28-319,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,03053fbf,0.0,0.0,2.0,3.0,180.0
9,Yusuf Abdurisag,FW,qa Qatar,26-345,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,13c8f40b,0.0,0.0,2.0,1.0,98.0
10,Husam Abu Dahab,DF,jo Jordan,26-065,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,300aaeb6,0.0,0.0,3.0,0.0,178.0
