Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play,Score
1,Brenden Aaronson,MF,us United States,25-268,1.eng Leeds United,2000,1,1,0.1088534107402032,0.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5bc43860,0.07317073170731708,0.043478260869565216,0.05,0.0,76.0,0.020885341074020323
2,Thelo Aasgaard,MF,no Norway,24-076,1.sct Rangers,2002,1,1,0.12917271407837447,1.0,0.125,0.0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches,c88a28b9,0.04878048780487805,0.043478260869565216,0.05,0.2,90.0,0.08041727140783746
3,Hamza Abdelkarim,FW,eg Egypt,18-197,4.es Barcelona B,2008,4,0,0.08563134978229318,0.7,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,057d8f12,0.0,0.0,0.0,0.0,60.0,0.0
4,Hossam Abdelmaguid,DF,eg Egypt,25-078,1.eg Zamalek SC,2001,2,0,0.08417997097242381,0.7,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,accbfc94,0.0,0.0,0.0,0.06666666666666667,59.0,0.0401693275278181
5,Mohamed Abdelmonem,DF,eg Egypt,27-166,1.fr Nice,1999,2,1,0.018867924528301886,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bff15d74,0.0,0.0,0.0,0.0,14.0,0.0037735849056603774
6,Ali Abdi,DF,tn Tunisia,32-209,1.fr Nice,1993,3,3,0.3889695210449927,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ad7cdb35,0.024390243902439025,0.0,0.4,0.26666666666666666,269.0,0.3511272375423319
7,Saud Abdulhamid,DF,sa Saudi Arabia,26-364,1.fr Lens,1999,3,3,0.3889695210449927,3.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,caa254e4,0.04878048780487805,0.0,0.45,0.13333333333333333,269.0,0.3269605708756652
8,Abdulla Abdullaev,DF,uz Uzbekistan,28-319,1.ae Dibba Al Fujairah,1997,2,2,0.2597968069666183,2.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,03053fbf,0.0,0.0,0.1,0.2,180.0,0.16695936139332365
9,Yusuf Abdurisag,FW,qa Qatar,26-345,1.qa Al-Wakrah,1999,2,2,0.14078374455732948,1.1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,13c8f40b,0.0,0.0,0.1,0.06666666666666667,98.0,0.0
10,Husam Abu Dahab,DF,jo Jordan,26-065,1.kw Al-Salmiya SC,2000,2,2,0.25689404934687954,2.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,300aaeb6,0.0,0.0,0.15000000000000002,0.0,178.0,0.11887880986937593
11,Mohammad Abu Hasheesh,DF,jo Jordan,31-069,1.iq Al-Karma,1995,1,0,0.007256894049346879,0.1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,72c2fa7a,0.0,0.0,0.1,0.0,6.0,0.04645137880986938
12,Mohannad Abu Taha,DF,jo Jordan,23-165,1.iq Al-Quwa Al-Jawiya,2003,3,3,0.38171262699564584,2.9,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,5c4bac6c,0.024390243902439025,0.0,0.1,0.4,264.0,0.26134252539912917
13,Mo Abualnadi,DF,jo Jordan,25-159,1.my Selangor FA,2001,1,1,0.10159651669085631,0.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4bff62e4,0.0,0.0,0.0,0.0,71.0,0.020319303338171266
14,Yazeed Abulaila,GK,jo Jordan,33-190,1.jo Al-Hussein SC,1993,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5d11fc17,0.0,0.0,0.0,0.0,270.0,0.0
15,Mahmoud Abunada,GK,qa Qatar,26-162,1.qa Al Rayyan SC,2000,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,27e7e545,0.0,0.0,0.0,0.0,270.0,0.0
16,Elias Achouri,FWMF,tn Tunisia,27-157,1.dk FC Copenhagen,1999,3,0,0.06095791001451379,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4dd2a0be,0.07317073170731708,0.043478260869565216,0.1,0.0,43.0,0.026095791001451384
17,Ché Adams,FW,sct Scotland,30-004,1.it Torino,1996,3,2,0.20899854862119013,1.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f2bf1b0f,0.024390243902439025,0.043478260869565216,0.05,0.0,145.0,0.011399787910922589
18,Jayden Adams,MF,za South Africa,25-073,1.za Sundowns,2001,3,2,0.16690856313497823,1.3,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,259affab,0.0,0.0,0.0,0.13333333333333333,116.0,0.030024189646831158
19,Tyler Adams,MF,us United States,27-153,1.eng Bournemouth,1999,4,4,0.4934687953555878,3.8,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,2b09d998,0.0,0.0,0.25,0.5333333333333333,341.0,0.1526802128688921
20,Ricardo Adé,DF,ht Haiti,36-057,1.ec LDU Quito,1990,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a9ee5e81,0.0975609756097561,0.043478260869565216,0.1,0.3333333333333333,270.0,0.23975084663763907
21,Ibrahim Adel,MF,eg Egypt,25-085,1.dk Nordsjælland,2001,1,0,0.0029027576197387514,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4869216e,0.0,0.0,0.0,0.0,3.0,0.00029027576197387516
22,Simon Adingra,FWMF,ci Côte d'Ivoire,24-197,1.fr Monaco,2002,1,0,0.02177068214804064,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4dcec659,0.0,0.0,0.0,0.0,16.0,0.0021770682148040637
23,Jonas Adjetey,DF,gh Ghana,22-216,1.de Wolfsburg,2003,3,3,0.3251088534107402,2.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,bdbf78cd,0.04878048780487805,0.043478260869565216,0.15000000000000002,0.06666666666666667,225.0,0.1558551040154814
24,Michel Aebischer,MFFW,ch Switzerland,29-192,1.it Pisa,1997,4,2,0.22496371552975328,1.7,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f9c927de,0.04878048780487805,0.043478260869565216,0.05,0.0,156.0,0.03249637155297533
25,Akram Afif,FWMF,qa Qatar,29-241,1.qa Al Sadd,1996,3,3,0.3439767779390421,2.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,fd53d9e7,0.04878048780487805,0.0,0.05,0.0,238.0,0.04439767779390421
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,29-030,1.tr Beşiktaş,1997,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,75f1ed80,0.07317073170731708,0.043478260869565216,0.30000000000000004,0.26666666666666666,270.0,0.3064175133043058
27,Rodrigo Aguirre,FW,uy Uruguay,31-289,1.mx América,1994,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,b5691f5d,0.0,0.0,0.0,0.0,1.0,0.0
28,Ali Ahmed,MF,ca Canada,25-280,2.eng Norwich City,2000,4,3,0.33817126269956455,2.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,540a5be1,0.04878048780487805,0.043478260869565216,0.1,0.2,234.0,0.07381712626995646
29,Homam Ahmed,DF,qa Qatar,26-326,2.es Cultural Leonesa,1999,2,2,0.1756168359941945,1.4,0.0,0.2,1,0,0,0,0,1,0.0,0.74,0.74,0.0,0.74,Matches,a62fa158,0.024390243902439025,0.0,0.05,0.2,122.0,0.1276233671988389
30,Rayan Aït-Nouri,DF,dz Algeria,25-041,1.eng Manchester City,2001,4,3,0.41074020319303334,3.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,9b398aea,0.024390243902439025,0.0,0.65,0.3333333333333333,284.0,0.4913147073052734
31,Kristoffer Ajer,DF,no Norway,28-091,1.eng Brentford,1998,5,5,0.6952104499274311,5.3,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,a8c0acb7,0.04878048780487805,0.043478260869565216,0.4,0.26666666666666666,480.0,0.41237542331881955
